col,class_id,class_name
lc01_burned_km2,1,Evergreen_Needleleaf_Forest
lc02_burned_km2,2,Evergreen_Broadleaf_Forest
lc03_burned_km2,3,Deciduous_Needleleaf_Forest
lc04_burned_km2,4,Deciduous_Broadleaf_Forest
lc05_burned_km2,5,Mixed_Forest
lc06_burned_km2,6,Closed_Shrubland
lc07_burned_km2,7,Open_Shrubland
lc08_burned_km2,8,Woody_Savanna
lc09_burned_km2,9,Savanna
lc10_burned_km2,10,Grassland
lc11_burned_km2,11,Permanent_Wetland
lc12_burned_km2,12,Cropland
lc13_burned_km2,13,Urban
lc14_burned_km2,14,Cropland_NatVeg_Mosaic
lc15_burned_km2,15,Snow_and_Ice
lc16_burned_km2,16,Barren
lc17_burned_km2,17,Water
